application_id,applicant_name,age,annual_income,employment_length,sex,race,credit_score,debt_to_income_ratio,num_credit_lines,num_derogatory_marks,months_since_last_delinquency,loan_amount,loan_term,loan_purpose,interest_rate,avg_monthly_balance,num_overdrafts,num_late_fees,monthly_income_deposits,loan_status
APP000046,Applicant_46,45,129101,4.0,Male,Other,736,0.5,11,0,,75941,120,debt_consolidation,4.97,2683,1,2,19604,0
APP000047,Applicant_47,34,157328,39.0,Female,Black,760,0.46,14,1,,68247,120,education,13.68,45632,0,0,9252,0
APP000048,Applicant_48,29,128684,,Female,Other,496,0.43,1,3,,10195,36,credit_card,24.77,9377,0,0,13852,1
APP000049,Applicant_49,46,84800,6.0,Male,Black,330,0.56,5,0,,52931,60,major_purchase,9.64,6272,0,0,2567,0
APP000050,Applicant_50,22,114937,36.0,Female,White,329,0.27,3,0,,54879,60,credit_card,3.6,2571,0,0,4277,0
APP000051,Applicant_51,40,61548,,Male,Black,412,0.13,1,1,,79793,60,major_purchase,20.63,39838,0,0,14881,1
APP000052,Applicant_52,48,193439,10.0,Male,Black,689,0.11,17,0,,9517,84,car,8.91,33704,0,1,15705,1
APP000053,Applicant_53,67,148845,,Female,Hispanic,575,0.58,12,0,,41063,60,education,21.79,36542,2,0,18100,1
APP000054,Applicant_54,27,133815,20.0,Male,Asian,519,0.37,13,2,,54575,60,home_improvement,8.99,33363,1,0,11407,0
APP000055,Applicant_55,64,147602,32.0,Female,Black,575,0.5,6,0,,85445,120,major_purchase,22.24,28111,0,0,8651,0
APP000056,Applicant_56,28,146270,19.0,Male,Other,311,0.34,3,0,,78540,36,business,23.15,27791,1,0,12585,1
APP000057,Applicant_57,67,146320,32.0,Female,White,792,0.27,11,1,,62005,84,car,15.99,33158,0,0,11380,0
APP000058,Applicant_58,55,177277,39.0,Male,Other,348,0.16,11,0,,42934,84,business,21.43,16352,1,0,12496,0
APP000059,Applicant_59,34,45570,,Male,White,309,0.52,10,1,,29961,36,business,22.14,46274,0,0,2583,1
APP000060,Applicant_60,37,181327,33.0,Female,Other,560,0.08,11,1,,60474,60,major_purchase,11.02,18577,1,0,17498,0
APP000061,Applicant_61,56,41182,35.0,Male,Black,619,0.55,16,1,,28167,60,debt_consolidation,17.66,28334,0,1,18544,0
APP000062,Applicant_62,60,59373,26.0,Female,Asian,485,0.16,10,0,,41570,36,home_improvement,16.5,40111,1,0,1125,0
APP000063,Applicant_63,24,63019,18.0,Female,Black,528,0.06,12,1,27.0,22409,36,car,12.71,13930,0,0,19800,0
APP000064,Applicant_64,22,36043,4.0,Female,Hispanic,320,0.11,19,2,,77484,84,education,19.77,25898,0,1,14298,1
APP000065,Applicant_65,26,196604,28.0,Female,Other,315,0.54,9,1,,99372,36,car,13.64,46474,1,1,10769,1
APP000066,Applicant_66,62,39239,9.0,Female,Asian,779,0.09,4,1,,7488,60,debt_consolidation,9.25,19371,1,0,10927,0
APP000067,Applicant_67,24,161488,39.0,Male,Other,305,0.25,15,0,,50205,60,education,9.46,17511,0,0,6272,1
APP000068,Applicant_68,49,154484,12.0,Male,Hispanic,597,0.19,7,0,,80617,120,major_purchase,3.51,5074,0,0,10487,0
APP000069,Applicant_69,38,101976,,Male,Hispanic,558,0.07,5,0,61.0,6087,60,car,5.12,33199,0,0,13573,0
APP000070,Applicant_70,46,44406,4.0,Male,Hispanic,339,0.34,19,1,,21982,120,major_purchase,6.54,9677,1,0,15432,1
APP000071,Applicant_71,64,21875,11.0,Male,Black,575,0.6,15,0,,48593,84,major_purchase,18.74,22401,0,0,2366,1
APP000072,Applicant_72,54,188138,12.0,Male,Black,818,0.52,6,0,,47766,60,debt_consolidation,6.01,10389,0,0,1134,1
APP000073,Applicant_73,30,156824,21.0,Male,Asian,810,0.14,15,0,,94532,36,major_purchase,8.22,39710,0,0,8154,0
APP000074,Applicant_74,56,152425,39.0,Female,Hispanic,607,0.54,17,0,,18243,84,home_improvement,13.73,6428,0,0,15332,0
APP000075,Applicant_75,34,178058,14.0,Female,Black,832,0.3,19,1,,28996,84,debt_consolidation,10.71,13144,1,0,11281,0
APP000076,Applicant_76,51,34691,12.0,Female,White,779,0.2,3,0,,35141,84,debt_consolidation,20.31,22424,0,1,4485,0
APP000077,Applicant_77,68,68075,0.0,Male,White,713,0.4,18,1,,18351,60,education,5.68,16007,0,0,16213,0
APP000078,Applicant_78,35,30794,37.0,Female,Black,822,0.17,10,3,,12843,36,education,24.61,30825,0,0,8946,0
APP000079,Applicant_79,28,167478,0.0,Male,Asian,764,0.53,15,0,,41202,84,credit_card,21.24,16989,0,0,7389,0
APP000080,Applicant_80,34,95930,10.0,Male,Other,708,0.39,18,1,,18990,84,home_improvement,14.2,12729,0,1,19492,0
APP000081,Applicant_81,43,177944,39.0,Male,Hispanic,349,0.12,15,1,,78231,84,car,6.23,46787,0,0,2852,1
APP000082,Applicant_82,60,61708,21.0,Female,Black,344,0.36,19,1,,29694,36,education,5.57,9499,0,0,8573,0
APP000083,Applicant_83,41,135492,34.0,Female,Asian,570,0.33,5,0,,46762,120,major_purchase,6.92,3813,0,0,17752,0
APP000084,Applicant_84,36,126629,5.0,Female,Other,574,0.31,11,1,,31615,36,major_purchase,7.37,20597,0,0,17348,1
APP000085,Applicant_85,65,171872,27.0,Male,Asian,722,0.25,9,0,71.0,71463,120,education,19.72,6484,0,0,9623,0
APP000086,Applicant_86,38,194469,30.0,Male,Other,334,0.31,5,1,,88758,60,debt_consolidation,24.41,3326,0,0,1766,0
APP000087,Applicant_87,67,143313,7.0,Male,White,803,0.37,11,2,,18527,36,major_purchase,19.75,33941,0,0,16494,0
APP000088,Applicant_88,44,188981,4.0,Male,Other,787,0.45,7,1,,54598,120,home_improvement,20.02,16881,0,0,6692,0
APP000089,Applicant_89,46,41352,16.0,Female,White,443,0.55,2,0,,43804,120,car,23.86,16923,1,0,6999,1
APP000090,Applicant_90,45,121975,37.0,Female,Hispanic,492,0.07,19,1,,93808,60,business,5.61,40065,0,1,19936,0
APP000091,Applicant_91,65,113848,8.0,Female,Black,846,0.36,18,0,,10970,120,business,5.64,15488,0,0,5679,0
APP000092,Applicant_92,61,166510,9.0,Female,White,477,0.46,16,1,,87079,36,major_purchase,22.76,29981,0,0,11039,1
APP000093,Applicant_93,49,64999,19.0,Male,Asian,617,0.11,1,0,,56949,60,debt_consolidation,15.35,28928,0,0,5618,0
APP000094,Applicant_94,35,38482,13.0,Male,Other,690,0.55,3,0,,55977,60,business,8.83,39931,0,0,4656,1
APP000095,Applicant_95,65,183543,13.0,Female,Asian,450,0.18,9,0,,83259,60,home_improvement,7.8,13781,1,0,2683,0
APP000096,Applicant_96,21,67279,25.0,Male,White,746,0.51,17,0,,25817,120,car,16.55,33089,0,0,9190,1
APP000097,Applicant_97,45,129413,28.0,Male,Asian,840,0.41,8,0,,78994,120,business,17.19,35300,1,1,3665,0
APP000098,Applicant_98,27,74213,26.0,Female,Other,449,0.36,16,0,,58578,84,home_improvement,19.81,45777,1,0,10223,0
APP000099,Applicant_99,29,133909,24.0,Female,Black,507,0.53,12,0,,64387,60,home_improvement,17.39,38158,0,0,12676,1
APP000100,Applicant_100,44,33026,15.0,Male,Asian,648,0.58,4,1,,57049,84,business,19.0,42034,0,1,18833,0
APP000101,Applicant_101,21,105184,,Female,Hispanic,561,0.6,5,0,,73519,36,home_improvement,18.85,26159,0,0,10093,0
APP000102,Applicant_102,64,25435,33.0,Female,Other,712,0.43,7,0,,34126,84,business,4.61,23195,0,1,13413,0
APP000103,Applicant_103,28,159565,15.0,Female,Other,388,0.24,18,1,,9469,60,education,18.79,46664,0,1,6442,1
APP000104,Applicant_104,44,79321,,Female,Hispanic,557,0.53,14,0,,88248,84,major_purchase,6.93,5570,1,1,12068,1
APP000105,Applicant_105,31,153835,2.0,Female,White,791,0.41,8,0,,99859,60,home_improvement,14.27,21998,0,0,9382,0
APP000106,Applicant_106,37,40389,22.0,Female,Hispanic,847,0.23,13,0,,93768,120,major_purchase,8.92,15139,0,0,19223,0
APP000107,Applicant_107,28,51498,10.0,Female,White,395,0.56,4,0,,19446,120,home_improvement,18.13,26499,0,0,11538,1
APP000108,Applicant_108,55,83755,17.0,Female,Black,703,0.46,12,2,,86757,84,car,9.98,49264,1,0,13420,0
APP000109,Applicant_109,55,121545,28.0,Female,White,738,0.3,3,1,,67443,120,education,23.12,30545,0,0,2656,0
APP000110,Applicant_110,53,55825,4.0,Male,Black,336,0.3,5,3,,35736,36,debt_consolidation,4.53,17851,0,1,6278,1
APP000111,Applicant_111,25,36934,23.0,Female,Black,780,0.6,4,1,,6157,84,major_purchase,13.65,46269,1,0,2295,0
APP000112,Applicant_112,62,25574,,Female,Hispanic,479,0.26,15,0,,6335,60,business,12.69,4201,1,0,18854,1
APP000113,Applicant_113,59,150698,28.0,Female,Black,624,0.1,5,0,,70163,84,business,7.61,47302,0,0,15129,0
APP000114,Applicant_114,61,189251,25.0,Male,White,705,0.35,9,0,,32156,60,debt_consolidation,5.0,36207,0,0,1864,1
APP000115,Applicant_115,48,152659,,Female,Asian,768,0.54,14,1,,98002,60,business,8.35,33278,0,0,1586,0
APP000116,Applicant_116,27,62782,2.0,Female,Other,570,0.37,16,0,,54345,120,car,6.29,15315,0,0,5124,0
APP000117,Applicant_117,29,80561,1.0,Male,Other,653,0.49,3,0,,67099,36,debt_consolidation,7.5,8639,0,0,6209,0
APP000118,Applicant_118,28,155481,24.0,Male,White,764,0.08,15,0,,35527,120,home_improvement,21.96,32000,0,1,16911,0
APP000119,Applicant_119,32,147159,18.0,Female,Asian,663,0.42,18,3,,59547,60,car,19.08,10121,2,0,17631,0
APP000120,Applicant_120,54,46751,39.0,Male,Black,368,0.09,18,1,,31718,60,major_purchase,6.55,27559,1,1,6637,0
APP000121,Applicant_121,53,58174,1.0,Male,White,607,0.36,14,0,,61855,36,car,22.88,45218,0,0,16537,1
APP000122,Applicant_122,68,142678,18.0,Male,Black,722,0.32,7,0,,93021,60,major_purchase,22.58,17129,0,0,19117,0
APP000123,Applicant_123,43,76572,0.0,Male,Hispanic,813,0.57,6,0,,26689,120,business,8.92,47077,0,0,12160,1
APP000124,Applicant_124,44,81416,26.0,Male,Asian,518,0.12,16,0,,72632,84,business,4.53,3110,0,0,16644,0
APP000125,Applicant_125,57,163113,34.0,Female,Other,344,0.06,19,2,,98392,36,home_improvement,18.41,13611,0,0,3492,1
APP000126,Applicant_126,55,174299,4.0,Male,White,532,0.13,9,0,,81001,36,education,16.03,10592,0,0,3754,0
APP000127,Applicant_127,64,55201,37.0,Female,Other,666,0.14,1,0,,25234,120,credit_card,11.57,47888,0,0,5650,0
APP000128,Applicant_128,60,56069,3.0,Female,Black,421,0.19,18,2,,88333,60,home_improvement,4.53,43799,1,0,17192,1
APP000129,Applicant_129,42,46370,16.0,Female,Black,794,0.5,14,1,,75586,60,education,6.3,24376,0,0,13123,0
APP000130,Applicant_130,47,145342,20.0,Male,Hispanic,448,0.26,14,0,,76602,36,home_improvement,16.43,9996,1,0,2137,0
APP000131,Applicant_131,55,162658,,Female,Black,775,0.51,8,0,,54647,120,business,17.94,35383,0,0,16845,0
APP000132,Applicant_132,21,145758,21.0,Male,Black,649,0.2,17,2,,17400,84,education,7.94,6375,1,0,10467,0
APP000133,Applicant_133,55,156394,10.0,Female,Other,414,0.52,18,0,,96894,120,debt_consolidation,13.12,14445,0,2,10413,0
APP000134,Applicant_134,57,85294,33.0,Female,Other,536,0.05,15,0,,74420,60,credit_card,22.31,10444,0,0,13125,0
APP000135,Applicant_135,67,99468,14.0,Female,White,346,0.56,10,0,,77752,84,car,8.67,43648,0,0,8284,1
APP000136,Applicant_136,34,180371,9.0,Male,White,573,0.46,16,1,,49199,120,credit_card,22.32,48950,1,1,8243,1
APP000137,Applicant_137,23,110715,37.0,Female,Black,412,0.28,7,1,,24207,120,home_improvement,9.7,33212,0,0,4429,1
APP000138,Applicant_138,21,90793,31.0,Male,Asian,844,0.37,17,1,,62523,120,debt_consolidation,21.95,11553,0,0,16772,0
APP000139,Applicant_139,25,197573,30.0,Male,White,698,0.56,5,0,,17781,120,business,15.93,38987,1,0,3808,1
APP000140,Applicant_140,46,131672,36.0,Male,Black,591,0.37,18,0,,86689,60,credit_card,19.7,13655,0,0,13131,0
APP000141,Applicant_141,34,160849,27.0,Female,Other,615,0.18,14,1,,71291,60,car,10.82,31446,0,0,9882,1
APP000142,Applicant_142,59,162321,30.0,Female,Hispanic,461,0.37,18,2,,6419,36,credit_card,6.49,16823,0,0,11862,0
APP000143,Applicant_143,47,140902,5.0,Female,Other,389,0.53,18,0,42.0,79336,36,major_purchase,6.7,33981,0,0,13075,1
APP000144,Applicant_144,29,41390,13.0,Female,Other,350,0.59,15,0,,31092,84,major_purchase,7.04,5786,0,0,17165,1
APP000145,Applicant_145,35,40369,,Male,Hispanic,723,0.37,11,0,,69831,36,car,7.83,8292,0,1,13015,0
APP000146,Applicant_146,35,163953,,Female,Other,705,0.14,5,0,,64078,84,credit_card,22.48,11069,1,1,5604,0
APP000147,Applicant_147,46,29587,,Male,White,443,0.47,16,1,,39166,84,debt_consolidation,14.02,4367,1,0,8362,1
APP000148,Applicant_148,62,127009,38.0,Male,Other,827,0.6,8,1,,50903,120,education,8.25,11097,0,1,2679,0
APP000149,Applicant_149,33,158905,1.0,Female,Hispanic,432,0.31,13,2,,17376,120,car,16.99,26356,1,0,5062,0
APP000150,Applicant_150,52,67013,37.0,Female,Black,798,0.26,17,1,,10666,120,home_improvement,5.3,46066,0,0,7996,0
APP000151,Applicant_151,59,137341,38.0,Male,Black,689,0.35,9,2,,83172,36,home_improvement,7.45,45003,0,0,12892,0
APP000152,Applicant_152,69,147785,33.0,Male,Black,469,0.14,15,0,,29809,84,education,15.4,30144,0,0,18479,1
APP000153,Applicant_153,52,166826,39.0,Female,Hispanic,841,0.58,7,0,,89827,120,car,13.92,47005,0,0,18727,0
APP000154,Applicant_154,24,127584,24.0,Female,Hispanic,459,0.51,18,1,,76250,36,home_improvement,8.28,20851,0,0,4902,1
APP000155,Applicant_155,50,98113,35.0,Female,White,711,0.11,14,0,,87599,84,business,4.51,33146,0,0,13667,0
APP000156,Applicant_156,57,106784,15.0,Male,Hispanic,683,0.57,8,0,,78306,84,major_purchase,16.44,36559,1,2,9451,1
APP000157,Applicant_157,43,55282,17.0,Male,Black,484,0.57,2,2,,29545,120,debt_consolidation,22.54,28544,0,0,8519,1
APP000158,Applicant_158,59,187809,12.0,Female,Hispanic,513,0.22,18,0,,91815,60,debt_consolidation,20.03,38382,0,0,1269,1
APP000159,Applicant_159,65,44124,36.0,Male,Asian,393,0.39,4,2,,89642,120,debt_consolidation,7.83,10110,1,0,19400,1
APP000160,Applicant_160,35,90102,26.0,Male,Other,518,0.11,2,1,,87015,36,credit_card,18.5,11130,0,0,1705,0
APP000161,Applicant_161,63,153268,33.0,Male,White,518,0.1,10,0,,78614,36,car,8.48,11949,0,0,8904,1
APP000162,Applicant_162,49,81527,10.0,Male,Black,312,0.33,6,1,,74540,36,home_improvement,19.94,30036,0,0,7030,1
APP000163,Applicant_163,56,150371,0.0,Female,Black,722,0.08,11,0,,61728,120,credit_card,19.74,40360,1,0,4550,0
APP000164,Applicant_164,33,150942,12.0,Male,Asian,722,0.53,10,2,,74581,36,home_improvement,8.25,37203,0,0,6250,1
APP000165,Applicant_165,52,116651,29.0,Female,White,785,0.56,17,0,,46366,120,car,3.92,18188,0,1,12778,0
APP000166,Applicant_166,27,105395,4.0,Female,Other,676,0.09,8,2,,56254,60,home_improvement,14.74,34685,0,0,14140,1
APP000167,Applicant_167,42,31345,17.0,Male,White,707,0.08,6,0,,96396,120,education,17.07,49498,0,1,13659,0
APP000168,Applicant_168,48,144544,13.0,Female,White,418,0.17,16,0,,56149,120,credit_card,9.38,41033,0,0,12404,1
APP000169,Applicant_169,22,54077,,Female,Black,570,0.56,10,1,,91726,60,credit_card,12.49,41791,1,2,9564,0
APP000170,Applicant_170,62,150429,31.0,Female,Hispanic,396,0.47,19,1,,96079,120,credit_card,13.37,36303,1,0,13641,1
APP000171,Applicant_171,65,32055,6.0,Male,Other,346,0.42,4,0,,20939,60,debt_consolidation,19.16,24180,0,0,16009,0
APP000172,Applicant_172,26,123693,7.0,Female,White,472,0.48,2,0,,61325,60,major_purchase,7.69,40044,0,1,18041,0
APP000173,Applicant_173,48,105283,6.0,Male,Asian,646,0.16,2,0,,47875,36,credit_card,5.48,22577,0,0,8343,0
APP000174,Applicant_174,48,64484,15.0,Female,Black,536,0.19,12,0,,21265,120,major_purchase,9.3,29977,0,0,1365,0
APP000175,Applicant_175,64,97514,30.0,Female,Hispanic,842,0.22,4,1,,20153,84,business,14.2,16694,1,1,7770,0
APP000176,Applicant_176,64,110135,26.0,Female,Hispanic,512,0.38,16,0,,80259,36,credit_card,6.49,28792,1,1,9891,1
APP000177,Applicant_177,40,55771,32.0,Female,Black,571,0.38,2,1,,42744,36,home_improvement,8.42,10721,0,0,14581,1
APP000178,Applicant_178,50,197612,28.0,Male,White,706,0.16,16,1,13.0,30851,120,car,14.16,32822,0,0,7502,1
APP000179,Applicant_179,31,130284,7.0,Female,Black,377,0.29,15,0,,81173,60,business,19.01,25497,0,1,9703,0
APP000180,Applicant_180,48,137399,,Female,Hispanic,445,0.43,14,0,,55700,60,credit_card,4.08,655,0,0,10958,1
APP000181,Applicant_181,45,124885,18.0,Female,Hispanic,311,0.22,11,0,,90615,36,debt_consolidation,15.77,5220,0,0,13786,0
APP000182,Applicant_182,59,180449,,Male,Asian,528,0.09,15,1,,97009,120,education,11.76,2496,0,1,13426,1
APP000183,Applicant_183,53,193805,20.0,Male,Asian,640,0.16,6,1,,57479,120,business,15.59,39301,0,0,18078,0
APP000184,Applicant_184,21,149344,24.0,Female,Hispanic,463,0.14,16,0,,87805,36,credit_card,17.27,24557,0,0,15785,1
APP000185,Applicant_185,47,162832,22.0,Female,Asian,681,0.4,1,0,,12238,84,home_improvement,4.3,27808,1,0,6827,0
APP000186,Applicant_186,33,133226,10.0,Female,Asian,721,0.09,11,0,,91420,60,home_improvement,15.08,16607,0,0,4854,0
APP000187,Applicant_187,61,119250,32.0,Female,Asian,737,0.54,14,0,,45672,84,home_improvement,23.82,14000,0,1,9461,0
APP000188,Applicant_188,23,45762,19.0,Male,Hispanic,362,0.1,2,0,,74002,120,home_improvement,12.59,26102,0,0,5194,0
APP000189,Applicant_189,59,185404,,Male,White,545,0.38,16,0,,87339,36,credit_card,23.12,42372,1,0,12710,1
APP000190,Applicant_190,26,191172,25.0,Male,White,349,0.56,4,0,,20946,60,major_purchase,24.39,49117,0,1,17194,1
APP000191,Applicant_191,28,156016,39.0,Female,Other,533,0.08,14,1,,54718,120,business,16.82,42915,1,1,8725,0
APP000192,Applicant_192,47,68825,11.0,Female,Asian,827,0.26,16,0,,49065,36,home_improvement,14.62,7543,0,0,5734,0
APP000193,Applicant_193,29,33877,31.0,Female,White,815,0.23,15,0,,48485,60,education,20.12,27087,1,0,17819,1
APP000194,Applicant_194,57,181062,,Female,Other,581,0.24,2,1,,40654,84,home_improvement,20.47,48867,0,0,8056,0
APP000195,Applicant_195,53,149065,9.0,Male,Black,519,0.38,13,0,,25397,120,credit_card,16.91,32348,2,0,2580,0
APP000196,Applicant_196,62,128443,3.0,Male,Asian,647,0.19,17,0,,68268,84,car,3.51,49915,0,0,3645,1
APP000197,Applicant_197,64,119612,14.0,Male,White,663,0.07,10,1,,33603,60,business,17.54,24666,0,0,13011,0
APP000198,Applicant_198,44,137674,5.0,Female,White,341,0.58,15,0,,23321,84,education,22.44,32499,0,0,17029,0
APP000199,Applicant_199,35,135074,26.0,Female,White,722,0.46,17,0,,79844,84,debt_consolidation,4.96,7188,0,1,5853,0
APP000200,Applicant_200,52,154330,4.0,Female,Other,434,0.12,8,1,,49815,36,debt_consolidation,9.92,30069,1,0,16181,0
APP000201,Applicant_201,52,51629,4.0,Female,Black,558,0.3,2,0,,26657,60,education,21.92,33143,0,0,5699,0
APP000202,Applicant_202,44,188651,17.0,Female,Asian,490,0.08,1,1,,97276,120,debt_consolidation,16.94,22180,0,0,18956,1
APP000203,Applicant_203,61,174030,27.0,Male,White,555,0.07,5,2,,79746,36,car,5.95,29625,0,0,9739,1
APP000204,Applicant_204,69,190537,34.0,Female,Hispanic,793,0.08,3,1,,16570,120,education,16.33,6932,1,0,12298,1
APP000205,Applicant_205,69,35775,21.0,Female,Asian,372,0.47,11,0,,58834,84,credit_card,16.79,8461,0,0,17101,1
APP000206,Applicant_206,32,185279,33.0,Male,Hispanic,373,0.29,16,1,,9447,36,car,5.86,34701,0,0,17875,0
APP000207,Applicant_207,59,173625,3.0,Male,Other,700,0.51,9,2,,16097,84,home_improvement,7.2,5478,0,0,19745,0
APP000208,Applicant_208,22,20055,17.0,Female,White,378,0.22,4,3,,65320,84,credit_card,16.04,25588,0,1,8215,1
APP000209,Applicant_209,23,108697,25.0,Male,Asian,547,0.48,9,0,,33731,36,credit_card,12.38,26879,1,0,3190,1
APP000210,Applicant_210,69,183945,21.0,Female,Asian,486,0.09,14,1,,45612,36,debt_consolidation,8.47,24280,0,0,12168,1
APP000211,Applicant_211,57,121505,32.0,Female,White,769,0.4,10,1,,28434,60,home_improvement,16.98,24859,1,1,9526,0
APP000212,Applicant_212,69,100720,13.0,Male,Black,755,0.25,16,0,,43604,60,business,5.87,18655,0,0,14487,0
APP000213,Applicant_213,37,98199,30.0,Female,Other,575,0.2,9,0,,22825,120,business,5.93,3371,0,1,11212,0
APP000214,Applicant_214,69,176390,9.0,Female,White,478,0.5,3,0,,18507,36,major_purchase,3.72,41951,0,1,4410,1
APP000215,Applicant_215,22,53734,23.0,Female,Asian,428,0.08,1,0,,10685,84,credit_card,17.56,17746,0,0,14849,0
